 h bar =  0.492508228253105     
 TE -error=   -2858.37597656250        3024411525747.85     
 Volume Error=   5.728395535697928E-002   16.4914553124618     
 TE -error=   -3821.80859375000        3024411524784.42     
 Volume Error=   6.151879006210947E-002   16.4956901471669     
 TE -error=   -1199.23242187500        3024411527407.00     
 Volume Error=   6.982503464314505E-002   16.5039963917479     
 TE -error=    2084.65283203125        3024411530690.88     
 Volume Error=   7.468372587027261E-002   16.5088550829751     
 TE -error=    437.457519531250        3024411529043.69     
 Volume Error=   8.469669410260394E-002   16.5188680512074     
 TE -error=   -804.388183593750        3024411527801.84     
 Volume Error=   6.677396413579118E-002   16.5009453212406     
 TE -error=   -1289.68066406250        3024411527316.55     
 Volume Error=   6.583604772458784E-002   16.5000074048294     
 TE -error=   -1266.17138671875        3024411527340.06     
 Volume Error=   5.533706826099660E-002   16.4895084253658     
 TE -error=   -489.674804687500        3024411528116.56     
 Volume Error=   5.769607014372014E-002   16.4918674272485     
 TE -error=    2256.93603515625        3024411530863.17     
 Volume Error=   6.125731033534976E-002   16.4954286674401     
 TE -error=    2077.11962890625        3024411530683.35     
 Volume Error=   7.165965598687762E-002   16.5058310130917     
 TE -error=    2142.62060546875        3024411530748.85     
 Volume Error=   5.547065029531950E-002   16.4896420074001     
 TE -error=    2812.45361328125        3024411531418.68     
 Volume Error=   6.309477385002538E-002   16.4972661309548     
 TE -error=    273.748046875000        3024411528879.98     
 Volume Error=   7.502229948386230E-002   16.5091936565886     
 TE -error=   -1959.48486328125        3024411526646.75     
 Volume Error=   7.097540333234065E-002   16.5051467604371     
 TE -error=   -1935.48974609375        3024411526670.74     
 Volume Error=   6.019860165906721E-002   16.4943699587639     
 TE -error=   -1186.12500000000        3024411527420.11     
 Volume Error=   7.352980446739821E-002   16.5077011615722     
 TE -error=    1086.78906250000        3024411529693.02     
 Volume Error=   5.240679001872195E-002   16.4865781471235     
 TE -error=    3206.57226562500        3024411531812.80     
 Volume Error=   7.148344138840912E-002   16.5056547984932     
 TE -error=    4046.32177734375        3024411532652.55     
 Volume Error=   6.861569090688135E-002   16.5027870480117     
 TE -error=    1018.25732421875        3024411529624.49     
 Volume Error=   7.113385436241515E-002   16.5053052114672     
 TE -error=   -3832.10888671875        3024411524774.12     
 Volume Error=   5.946390047029126E-002   16.4936352575751     
 TE -error=   -7426.05859375000        3024411521180.17     
 Volume Error=   7.307505711651174E-002   16.5072464142213     
 TE -error=   -4329.99902343750        3024411524276.23     
 Volume Error=   5.704521299776388E-002   16.4912165701026     
 TE -error=    386.418457031250        3024411528992.65     
 Volume Error=   5.709352990379557E-002   16.4912648870086     
 TE -error=    297.290039062500        3024411528903.52     
 Volume Error=   7.075868779793382E-002   16.5049300449027     
 TE -error=    1604.10498046875        3024411530210.34     
 Volume Error=   7.227214382510283E-002   16.5064435009299     
 TE -error=    391.635253906250        3024411528997.87     
 Volume Error=   7.620855058121379E-002   16.5103799076860     
 TE -error=    2046.55468750000        3024411530652.79     
 Volume Error=   6.429274890251691E-002   16.4984641060073     
 TE -error=    4020.01416015625        3024411532626.24     
 Volume Error=   6.388916062860517E-002   16.4980605177334     
 TE -error=    4311.77734375000        3024411532918.01     
 Volume Error=   6.851763600934646E-002   16.5026889931141     
 TE -error=    3933.89355468750        3024411532540.12     
 Volume Error=   8.110845328701544E-002   16.5152798103918     
 TE -error=    4526.24023437500        3024411533132.47     
 Volume Error=   5.965716809441801E-002   16.4938285251992     
 TE -error=    7108.07031250000        3024411535714.30     
 Volume Error=   7.560174708487466E-002   16.5097731041897     
 TE -error=    8277.68994140625        3024411536883.92     
 Volume Error=   6.716334155498771E-002   16.5013346986598     
 TE -error=    5595.75048828125        3024411534201.98     
 Volume Error=   6.825615628258674E-002   16.5024275133874     
 TE -error=   -614.523925781250        3024411527991.71     
 Volume Error=   6.021139142831089E-002   16.4943827485331     
 TE -error=   -3581.72460937500        3024411525024.51     
 Volume Error=   7.854978889554332E-002   16.5127211460003     
