 h bar =  0.492508228253105     
 Volume Error=   7.740936780464835E-002   16.5066694535199     
 TE -error=   -20346.0732421875        5928827427908.62     
 Volume Error=   7.626113074366003E-002   16.5055212164589     
 TE -error=   -21276.3984375000        5928827426978.29     
 Volume Error=   7.740936780464835E-002   16.5066694535199     
 TE -error=   -22268.3027343750        5928827425986.39     
 Volume Error=   7.738663043710403E-002   16.5066467161523     
 TE -error=   -23240.5546875000        5928827425014.13     
 Volume Error=   8.094502845779061E-002   16.5102051141730     
 TE -error=   -24265.1582031250        5928827423989.53     
 Volume Error=   7.687503966735676E-002   16.5061351253826     
 TE -error=   -25145.6523437500        5928827423109.04     
 Volume Error=   7.954668035381474E-002   16.5088067660690     
 TE -error=   -26148.4072265625        5928827422106.28     
 Volume Error=   7.190692485892214E-002   16.5011670105741     
 TE -error=   -27086.6123046875        5928827421168.08     
 Volume Error=   7.564722181996331E-002   16.5049073075352     
 TE -error=   -28038.3134765625        5928827420216.38     
 Volume Error=   7.975131666171364E-002   16.5090114023769     
 TE -error=   -29011.8730468750        5928827419242.82     
 Volume Error=   7.208882379927672E-002   16.5013489095145     
 TE -error=   -29893.6308593750        5928827418361.06     
 Volume Error=   8.019469532882795E-002   16.5094547810440     
 TE -error=   -30879.8154296875        5928827417374.87     
 Volume Error=   7.631797416252084E-002   16.5055780598777     
 TE -error=   -31782.7324218750        5928827416471.96     
 Volume Error=   7.477183316950686E-002   16.5040319188847     
 TE -error=   -32672.2460937500        5928827415582.44     
 Volume Error=   7.682956493226811E-002   16.5060896506475     
 TE -error=   -33576.9072265625        5928827414677.78     
 Volume Error=   7.873950380599126E-002   16.5079995895212     
 TE -error=   -34448.8339843750        5928827413805.86     
 Volume Error=   7.748894859105349E-002   16.5067490343063     
 TE -error=   -35302.8359375000        5928827412951.85     
 Volume Error=   7.903508958406746E-002   16.5082951752993     
 TE -error=   -36172.4765625000        5928827412082.21     
 Volume Error=   7.152607395255473E-002   16.5007861596678     
 TE -error=   -36949.5507812500        5928827411305.14     
 Volume Error=   8.164420250977855E-002   16.5109042882250     
 TE -error=   -37804.6503906250        5928827410450.04     
